#time pid %cpu %MEM App
779 1223 756.2 22.6 bowtie2-align-s
785 1223 785.4 22.6 bowtie2-align-s
790 1223 782.1 22.6 bowtie2-align-s
796 1223 783.2 22.6 bowtie2-align-s
801 1223 771.5 22.6 bowtie2-align-s
807 1223 764.5 22.6 bowtie2-align-s
812 1223 753.4 22.6 bowtie2-align-s
818 1223 773.4 22.6 bowtie2-align-s
824 1223 783.7 22.6 bowtie2-align-s
829 1223 759.1 22.6 bowtie2-align-s
835 1223 780.8 22.6 bowtie2-align-s
840 1223 785.0 22.6 bowtie2-align-s
846 1223 782.1 22.6 bowtie2-align-s
851 1223 783.7 22.6 bowtie2-align-s
857 1223 757.5 22.6 bowtie2-align-s
863 1223 786.3 22.6 bowtie2-align-s
868 1223 777.5 22.6 bowtie2-align-s
874 1223 783.4 22.6 bowtie2-align-s
879 1223 769.9 22.6 bowtie2-align-s
885 1223 752.1 22.6 bowtie2-align-s
890 1223 727.6 22.6 bowtie2-align-s
896 1223 783.9 22.6 bowtie2-align-s
902 1223 765.3 22.6 bowtie2-align-s
907 1223 762.3 22.6 bowtie2-align-s
913 1223 767.6 22.6 bowtie2-align-s
918 1223 782.6 22.6 bowtie2-align-s
924 1223 780.6 22.6 bowtie2-align-s
929 1223 771.8 22.6 bowtie2-align-s
935 1223 765.6 22.6 bowtie2-align-s
941 1223 775.9 22.6 bowtie2-align-s
946 1223 780.6 22.6 bowtie2-align-s
952 1223 786.2 22.6 bowtie2-align-s
957 1223 762.8 22.6 bowtie2-align-s
963 1223 765.6 22.6 bowtie2-align-s
968 1223 776.0 22.6 bowtie2-align-s
974 1223 782.1 22.6 bowtie2-align-s
980 1223 685.0 22.6 bowtie2-align-s
985 1223 756.6 22.6 bowtie2-align-s
991 1223 780.5 22.6 bowtie2-align-s

